order_id,order_date,order_time,order_datetime,category,product,quantity,unit_price,total_amount,discount_percent,discount_amount,final_amount,city,delivery_time_minutes,customer_rating,order_type,day_of_week,is_weekend,month
BLK10000,2024-11-23,11:01:00,2024-11-23 11:01:00,Fruits & Vegetables,Tomatoes,2,55,110,0,0.0,110.0,Mumbai,26,5,Instant,Saturday,True,November
BLK10001,2024-08-04,09:01:00,2024-08-04 09:01:00,Groceries,Wheat,5,358,1790,0,0.0,1790.0,Mumbai,25,5,Instant,Sunday,True,August
BLK10002,2024-08-02,15:28:00,2024-08-02 15:28:00,Personal Care,Toothpaste,2,462,924,15,138.6,785.4,Delhi,25,4,Instant,Friday,False,August
BLK10003,2024-07-13,11:22:00,2024-07-13 11:22:00,Beverages,Energy Drinks,1,255,255,0,0.0,255.0,Bangalore,31,3,Instant,Saturday,True,July
BLK10004,2024-05-30,19:36:00,2024-05-30 19:36:00,Snacks,Chips,2,84,168,0,0.0,168.0,Delhi,31,5,Instant,Thursday,False,May
BLK10005,2024-08-20,19:10:00,2024-08-20 19:10:00,Beverages,Tea,3,56,168,0,0.0,168.0,Mumbai,44,5,Instant,Tuesday,False,August
BLK10006,2024-08-24,20:17:00,2024-08-24 20:17:00,Fruits & Vegetables,Onions,3,34,102,0,0.0,102.0,Mumbai,38,5,Instant,Saturday,True,August
BLK10007,2024-02-03,14:58:00,2024-02-03 14:58:00,Personal Care,Toothpaste,4,435,1740,12,208.8,1531.2,Mumbai,35,4,Instant,Saturday,True,February
BLK10008,2024-10-02,16:47:00,2024-10-02 16:47:00,Personal Care,Deodorant,4,400,1600,20,320.0,1280.0,Kolkata,33,5,Instant,Wednesday,False,October
BLK10009,2024-01-25,11:09:00,2024-01-25 11:09:00,Fruits & Vegetables,Bananas,5,36,180,0,0.0,180.0,Chennai,33,4,Instant,Thursday,False,January
BLK10010,2024-10-10,08:43:00,2024-10-10 08:43:00,Fruits & Vegetables,Apples,3,107,321,5,16.05,304.95,Kolkata,31,4,Scheduled,Thursday,False,October
BLK10011,2024-05-14,13:32:00,2024-05-14 13:32:00,Groceries,Sugar,5,361,1805,0,0.0,1805.0,Bangalore,26,3,Instant,Tuesday,False,May
